reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,calibre,power_reserve,frequency,jewels,features,description,short_description
1WTAR.U01C.C153A,https://arnoldandson.com/collections/globetrotter/globetrotter-gold,,Arnold & Son,,globetrotter,GLOBETROTTER GOLD,,Limited edition: 28,,,,https://arnoldandson.com/content/374/conversions/thumbnail-cropped.jpg,,,18-carat red gold (5N),,,38.00 mm,,,,,,,2.94 ATM,,"lacquered in shades of sunlit blue, three-dimensional appliqués in 18-carat rose gold (4N) with Super-LumiNova",,hand-stitched blue alligator leather,hand-stitched blue alligator leather,,,Calibre A&S6022 - WORLDTIMER,45 hours,"4 Hz / 28,800 vph",29,"hours, minutes, world times (24-hour ring)","Case: 45 mm, 18-carat red gold (5N)
Dial: lacquered in shades of sunlit blue, three-dimensional appliqués in 18-carat rose gold (4N) with Super-LumiNova
Strap: hand-stitched blue alligator leather",
1WTAS.U01C.C153S,https://arnoldandson.com/collections/globetrotter/globetrotter-steel-blue,,Arnold & Son,,globetrotter,GLOBETROTTER STEEL BLUE,,Limited edition: 88,,,,https://arnoldandson.com/content/383/conversions/thumbnail-cropped.jpg,,,stainless steel,,,38.00 mm,,,,,,,2.94 ATM,,"lacquered, brushed sunburst, tonal blue - Earth's dome: hand-painted, blue lacquer, mother-of-pearl powder & Super-LumiNova (shores)",,hand-stitched alligator strap,hand-stitched alligator strap,,,Calibre A&S6022 - WORLDTIMER,45 hours,"4 Hz / 28,800 vph",29,"hours, minutes, world hours (24-hour ring)","Case: 45 mm, stainless steel
Dial: lacquered, brushed sunburst, tonal blue - Earth's dome: hand-painted, blue lacquer, mother-of-pearl powder & Super-LumiNova (shores)
Strap: hand-stitched alligator strap",
1WTAS.S02C.C155S,https://arnoldandson.com/collections/globetrotter/globetrotter-steel-opaline,,Arnold & Son,,globetrotter,GLOBETROTTER STEEL OPALINE,,,,,,https://arnoldandson.com/content/388/conversions/thumbnail-cropped.jpg,,,stainless steel,,,38.00 mm,,,,,,,2.94 ATM,,"lacquered, brushed sunburst, opaline - Earth's dome: hand-painted, blue lacquer, mother-of-pearl powder & Super-LumiNova (shores)",,hand-stitched alligator strap,hand-stitched alligator strap,,,Calibre A&S6022 - WORLDTIMER,45 hours,"4 Hz / 28,800 vph",29,"hours, minutes, world hours (24-hour ring)","Case: 45 mm, stainless steel
Dial: lacquered, brushed sunburst, opaline - Earth's dome: hand-painted, blue lacquer, mother-of-pearl powder & Super-LumiNova (shores)
Strap: hand-stitched alligator strap",
1WTAX.U02C.C183C,https://arnoldandson.com/collections/globetrotter/globetrotter-platinum,,Arnold & Son,,globetrotter,GLOBETROTTER PLATINUM,,Limited edition: 28,,,,https://arnoldandson.com/content/827/conversions/thumbnail-cropped.jpg,,,Pt 950 platinum,,,38.00 mm,,,,,,,2.94 ATM,,"mother-of-pearl in graduated shades of blue, three-dimensional appliques in 18-carat rhodium-plated gold with Super-LumiNova  ///  24-hour ring:	sapphire crystal with hour decals  ///  continents: rhodium-plated and polished with matt mountain range detailing  ///  oceans: hand-painted, blue lacquer and powdered mother-of-pearl  ///  shorelines: hand-painted, blue lacquer and powdered mother-of-pearl mixed with Super-LumiNova  ///  bridge: 18-carat rhodium-plated gold, polished and satin-finished on the sides",,"Hand-stitched blue alligator skin, raspberry-pink alligator-skin lining  ///  Pt 950 platinum and titanium folding clasp","Hand-stitched blue alligator skin, raspberry-pink alligator-skin lining  ///  Pt 950 platinum and titanium folding clasp",,,Calibre A&S6022 - WORLDTIMER,45 hours,"4 Hz / 28,800 vph",29,"hours, minutes, world time (24-hour ring)","Case: Pt 950 platinum
Dial: mother-of-pearl in graduated shades of blue, three-dimensional appliques in 18-carat rhodium-plated gold with Super-LumiNova  ///  24-hour ring:	sapphire crystal with hour decals  ///  continents: rhodium-plated and polished with matt mountain range detailing  ///  oceans: hand-painted, blue lacquer and powdered mother-of-pearl  ///  shorelines: hand-painted, blue lacquer and powdered mother-of-pearl mixed with Super-LumiNova  ///  bridge: 18-carat rhodium-plated gold, polished and satin-finished on the sides
Strap: Hand-stitched blue alligator skin, raspberry-pink alligator-skin lining  ///  Pt 950 platinum and titanium folding clasp",
1DTAR.Z01A.C120R,https://arnoldandson.com/collections/grandes-complications/double-tourbillon-jade-red-gold,,Arnold & Son,,grandes-complications,DOUBLE TOURBILLON JADE,DOUBLE TOURBILLON JADE RED GOLD,Limited edition: Unique piece,,,,https://arnoldandson.com/content/397/conversions/thumbnail-cropped.jpg,,,18-carat white or red gold (5N),,,37.30 mm,,,,,,,2.94 ATM,,"Dial base: green jade, sub-dials: white opal",,Hand-stitched alligator leather,Hand-stitched alligator leather,,,Calibre A&S8513 - DOUBLE TOURBILLON,90 hours,"3 Hz / 21,600 vph",42,"Local hours and minutes (Roman numerals), independent reference hours and minutes (Arabic numerals)","Case: 43.50 mm, 18-carat white or red gold (5N)
Dial: Dial base: green jade, sub-dials: white opal
Strap: Hand-stitched alligator leather",
1DTAW.Z01A.C121W,https://arnoldandson.com/collections/grandes-complications/double-tourbillon-jade-white-gold,,Arnold & Son,,grandes-complications,DOUBLE TOURBILLON JADE,DOUBLE TOURBILLON JADE WHITE GOLD,Limited edition: Unique piece,,,,https://arnoldandson.com/content/394/conversions/thumbnail-cropped.jpg,,,18-carat white or red gold (5N),,,37.30 mm,,,,,,,2.94 ATM,,"Dial base: green jade, sub-dials: white opal",,Hand-stitched alligator leather,Hand-stitched alligator leather,,,Calibre A&S8513 - DOUBLE TOURBILLON,90 hours,"3 Hz / 21,600 vph",42,"Local hours and minutes (Roman numerals), independent reference hours and minutes (Arabic numerals)","Case: 43.50 mm, 18-carat white or red gold (5N)
Dial: Dial base: green jade, sub-dials: white opal
Strap: Hand-stitched alligator leather",
1ATCX.P01A.C200X,https://arnoldandson.com/collections/dstb/dstb-42-platinum,,Arnold & Son,,dstb,DSTB 42 PLATINUM,,Limited edition: 38,,,,https://arnoldandson.com/content/940/conversions/thumbnail-cropped.jpg,,,platinum (Pt 950),,,33.00 mm,,,,,,,2.94 ATM,,"sunray-brushed, with salmon PVD treatment",,"blue alligator leather, hand-stitched, platinum (Pt 950) pin buckle","blue alligator leather, hand-stitched, platinum (Pt 950) pin buckle",,,Calibre A&S6203 - TRUE BEAT SECONDS,55 hours,"4 Hz / 28,800 vph",32,"hours, minutes, true-beat seconds","Case: platinum (Pt 950)
Dial: sunray-brushed, with salmon PVD treatment
Strap: blue alligator leather, hand-stitched, platinum (Pt 950) pin buckle",
1ATCR.U01A.C200A,https://arnoldandson.com/collections/dstb/dstb-42-red-gold,,Arnold & Son,,dstb,DSTB 42 RED GOLD,,Limited edition: 88,,,,https://arnoldandson.com/content/939/conversions/thumbnail-cropped.jpg,,,18-carat (5N) red gold,,,33.00 mm,,,,,,,2.94 ATM,,"sunray-brushed, with blue PVD treatment",,"blue alligator leather, hand-stitched, 18-carat (5N) red gold pin buckle","blue alligator leather, hand-stitched, 18-carat (5N) red gold pin buckle",,,Calibre A&S6203 - TRUE BEAT SECONDS,55 hours,"4 Hz / 28,800 vph",32,"hours, minutes, true-beat seconds","Case: 18-carat (5N) red gold
Dial: sunray-brushed, with blue PVD treatment
Strap: blue alligator leather, hand-stitched, 18-carat (5N) red gold pin buckle",
1GLBX.U01A.C200X,https://arnoldandson.com/collections/perpetual-moon/perpetual-moon-41-5-platinum-celestial-blue,,Arnold & Son,,perpetual-moon,"PERPETUAL MOON 41.5 PLATINUM ""Celestial Blue""",,Limited edition: 38 pieces,,,,https://arnoldandson.com/content/877/conversions/thumbnail-cropped.jpg,,,platinum Pt 950,,,34.00 mm,,,,,,,2.94 ATM,,“Stellar Rays” decor with celestial-blue PVD treatment,,"blue alligator leather, hand-stitched, 18-carat white gold pin buckle","blue alligator leather, hand-stitched, 18-carat white gold pin buckle",,,Calibre A&S1512 - PRECISION MOON PHASES,90 hours,"3 Hz / 21,600 vph",27,"hours, minutes, astronomical moon phases, second moon-phase indicator on the back","Case: 41.5 mm, platinum Pt 950
Dial: “Stellar Rays” decor with celestial-blue PVD treatment
Strap: blue alligator leather, hand-stitched, 18-carat white gold pin buckle",
1GLM.WZ03A.C247A,https://arnoldandson.com/collections/perpetual-moon/perpetual-moon-38-mintnight,,Arnold & Son,,perpetual-moon,PERPETUAL MOON 38 MINTNIGHT,,Limited edition: 18,,,,https://arnoldandson.com/content/944/conversions/thumbnail-cropped.jpg,,,"18-carat white gold, set with 80 brilliant-cut diamonds",,,30.00 mm,,,,,,,2.94 ATM,,"ruthenium crystals and mother-of-pearl marquetry tinted in graduated shades of green and blue, hour-markers set with 5 marquise-cut diamonds",,"teal-blue satin-feel alligator leather, raspberry-pink alligator-leather lining, hand-stitched, 18-carat white gold pin buckle set with 22 brilliant-cut diamonds","teal-blue satin-feel alligator leather, raspberry-pink alligator-leather lining, hand-stitched, 18-carat white gold pin buckle set with 22 brilliant-cut diamonds",,,Calibre A&S1612,90 hours,"3 Hz / 21,600 vph",24,"hours, minutes, astronomical moon phases","Case: 18-carat white gold, set with 80 brilliant-cut diamonds
Dial: ruthenium crystals and mother-of-pearl marquetry tinted in graduated shades of green and blue, hour-markers set with 5 marquise-cut diamonds
Strap: teal-blue satin-feel alligator leather, raspberry-pink alligator-leather lining, hand-stitched, 18-carat white gold pin buckle set with 22 brilliant-cut diamonds",
1GLBX.P01A.C200W,https://arnoldandson.com/collections/perpetual-moon/perpetual-moon-41-5-platinum-salmon-pink,,Arnold & Son,,perpetual-moon,"PERPETUAL MOON 41.5 PLATINUM ""salmon-pink""",,Limited edition: 28 pieces,,,,https://arnoldandson.com/content/431/conversions/thumbnail-cropped.jpg,,,950 platinum,,,34.00 mm,,,,,,,2.94 ATM,,"‘Stellar Rays’ decor, with blue or salmon-pink PVD treatment",,"Blue alligator leather, hand-stitched","Blue alligator leather, hand-stitched",,,Calibre A&S1512 - PRECISION MOON PHASES,90 hours,"3 Hz / 21,600 vph",27,"Hours, minutes, astronomical moon phases, second moon-phase indicator on the back","Case: 41.5 mm, 950 platinum
Dial: ‘Stellar Rays’ decor, with blue or salmon-pink PVD treatment
Strap: Blue alligator leather, hand-stitched",
1GLBR.U01A.C200A,https://arnoldandson.com/collections/perpetual-moon/perpetual-moon-41-5-red-gold-blue,,Arnold & Son,,perpetual-moon,"PERPETUAL MOON 41.5 GOLD ""blue""",,,,,,https://arnoldandson.com/content/425/conversions/thumbnail-cropped.jpg,,,18-carat (5N) red gold,,,34.00 mm,,,,,,,2.94 ATM,,"‘Stellar Rays’ decor, with blue or salmon-pink PVD treatment",,"blue alligator leather, hand-stitched,","blue alligator leather, hand-stitched,",,,Calibre A&S1512 - PRECISION MOON PHASES,90 hours,"3 Hz / 21,600 vph",27,"Hours, minutes, moon phase","Case: 41.5 mm, 18-carat (5N) red gold
Dial: ‘Stellar Rays’ decor, with blue or salmon-pink PVD treatment
Strap: blue alligator leather, hand-stitched,",
1GLAR.Z01A.C154A,https://arnoldandson.com/collections/perpetual-moon/perpetual-moon-obsidian,,Arnold & Son,,perpetual-moon,"PERPETUAL MOON 41.5 GOLD ""obsidian""",,Limited edition: 28,,,,https://arnoldandson.com/content/325/conversions/thumbnail-cropped.jpg,,,18-carat red gold (5N),,,34.00 mm,,,,,,,2.94 ATM,,"Golden obsidian, blue lacquered guilloché sky, silvered constellations, engraved rhodium-plated moon disc",,blue alligator leather hand-stitched with silver-coloured thread,blue alligator leather hand-stitched with silver-coloured thread,,,Calibre A&S1512 - PRECISION MOON PHASES,90 hours,"3 Hz / 21,600 vph",27,"Hours, minutes, perpetual moon phases indicator","Case: 42 mm, 18-carat red gold (5N)
Dial: Golden obsidian, blue lacquered guilloché sky, silvered constellations, engraved rhodium-plated moon disc
Strap: blue alligator leather hand-stitched with silver-coloured thread",
1GLMW.Z01AC.205A,https://arnoldandson.com/collections/perpetual-moon/perpetual-moon-38-eclipse-I,,Arnold & Son,,perpetual-moon,PERPETUAL MOON 38 ECLIPSE I,,Limited edition: 18,,,,https://arnoldandson.com/content/421/conversions/thumbnail-cropped.jpg,,,"18-carat white gold, set with 80 brilliant-cut diamonds",,,30.00 mm,,,,,,,2.94 ATM,,"aventurine lace crystal encrusted with white mother-of-pearl and blue-tinted mother-of-pearl, set with 35 brilliant-cut diamonds, 3 pear-cut diamonds, 4 brilliant-cut pink sapphires and 8 pear-cut blue sapphires",,"satin-feel blue alligator leather, satin-feel fuchsia alligator leather lining with 18-carat white gold pin buckle, set with 22 brilliant-cut diamonds","satin-feel blue alligator leather, satin-feel fuchsia alligator leather lining with 18-carat white gold pin buckle, set with 22 brilliant-cut diamonds",,,Calibre A&S1612,90 hours,"3 Hz / 21,600 vph",24,"hours, minutes, astronomical moon phases","Case: 38 mm, 18-carat white gold, set with 80 brilliant-cut diamonds
Dial: aventurine lace crystal encrusted with white mother-of-pearl and blue-tinted mother-of-pearl, set with 35 brilliant-cut diamonds, 3 pear-cut diamonds, 4 brilliant-cut pink sapphires and 8 pear-cut blue sapphires
Strap: satin-feel blue alligator leather, satin-feel fuchsia alligator leather lining with 18-carat white gold pin buckle, set with 22 brilliant-cut diamonds",
1GLMR.U01A.C206A,https://arnoldandson.com/collections/perpetual-moon/perpetual-moon-38-rg,,Arnold & Son,,perpetual-moon,PERPETUAL MOON 38 GOLD,,,,,,https://arnoldandson.com/content/441/conversions/thumbnail-cropped.jpg,,,"18-carat red gold (5N), set with 80 brilliant-cut diamonds",,,30.00 mm,,,,,,,2.94 ATM,,"blue-tinted mother-of-pearl, hour-markers set with 36 diamonds",,satin-feel blue alligator leather with 18-carat red gold (5N) pin buckle set with 22 brilliant-cut diamonds,satin-feel blue alligator leather with 18-carat red gold (5N) pin buckle set with 22 brilliant-cut diamonds,,,Calibre A&S1612,90 hours,"3 Hz / 21,600 vph",24,"hours, minutes, astronomical moon phases","Case: 38 mm, 18-carat red gold (5N), set with 80 brilliant-cut diamonds
Dial: blue-tinted mother-of-pearl, hour-markers set with 36 diamonds
Strap: satin-feel blue alligator leather with 18-carat red gold (5N) pin buckle set with 22 brilliant-cut diamonds",
1UTBR.I01A.C246R,https://arnoldandson.com/collections/ultrathin-tourbillon/ultrathin-tourbillon-gold-silver-opaline,,Arnold & Son,,ultrathin-tourbillon,ULTRATHIN TOURBILLON GOLD SILVER OPALINE,,Limited edition: 88,,,,https://arnoldandson.com/content/936/conversions/thumbnail-cropped.jpg,,,18-carat (5N) red gold,,,32.00 mm,,,,,,,2.94 ATM,,"Dial: silver opaline, hour-dial: white opal",,"Hand-stitched blue alligator leather, black alligator leather lining, folding clasp in titanium with 18-carat red gold (5N) cap","Hand-stitched blue alligator leather, black alligator leather lining, folding clasp in titanium with 18-carat red gold (5N) cap",,,Calibre A&S8200 - ULTRATHIN FLYING TOURBILLON,90 hours,"3 Hz / 21,600 vph",29,"Hours, minutes","Case: 41.5 mm, 18-carat (5N) red gold
Dial: Dial: silver opaline, hour-dial: white opal
Strap: Hand-stitched blue alligator leather, black alligator leather lining, folding clasp in titanium with 18-carat red gold (5N) cap",
1UTBR.Z01A.C246R,https://arnoldandson.com/collections/ultrathin-tourbillon/ultrathin-tourbillon-skeleton-red-gold,,Arnold & Son,,ultrathin-tourbillon,ULTRATHIN TOURBILLON SKELETON RED GOLD,,Limited edition: 28,,,,https://arnoldandson.com/content/1026/conversions/thumbnail-cropped.jpg,,,18-carat (5N) red gold,,,,,,,,,,2.94 ATM,,white opal,,"hand-stitched blue alligator leather with black alligator leather lining, folding clasp in titanium with cover in 18-carat (5N) red gold","hand-stitched blue alligator leather with black alligator leather lining, folding clasp in titanium with cover in 18-carat (5N) red gold",,,Calibre A&S8320 - ULTRATHIN FLYING TOURBILLON,,,,"hours, minutes","Case: 41.5 mm, 18-carat (5N) red gold
Dial: white opal
Strap: hand-stitched blue alligator leather with black alligator leather lining, folding clasp in titanium with cover in 18-carat (5N) red gold",
1UTBX.Z01A.C245X,https://arnoldandson.com/collections/ultrathin-tourbillon/ultrathin-tourbillon-skeleton-platinum,,Arnold & Son,,ultrathin-tourbillon,ULTRATHIN TOURBILLON SKELETON PLATINUM,,Limited edition: 28,,,,https://arnoldandson.com/content/1027/conversions/thumbnail-cropped.jpg,,,platinum (PT950),,,,,,,,,,2.94 ATM,,white opal,,"hand-stitched brown alligator leather with black alligator leather lining, folding clasp in titanium with cover in platinum (PT 950)","hand-stitched brown alligator leather with black alligator leather lining, folding clasp in titanium with cover in platinum (PT 950)",,,Calibre A&S8320 - ULTRATHIN FLYING TOURBILLON,,,,"hours, minutes","Case: 41.5 mm, platinum (PT950)
Dial: white opal
Strap: hand-stitched brown alligator leather with black alligator leather lining, folding clasp in titanium with cover in platinum (PT 950)",
1UTBR.U01A.C209A,https://arnoldandson.com/collections/ultrathin-tourbillon/ultrathin-tourbillon-gold-blue,,Arnold & Son,,ultrathin-tourbillon,ULTRATHIN TOURBILLON GOLD BLUE,,Limited edition: 28,,,,https://arnoldandson.com/content/413/conversions/thumbnail-cropped.jpg,,,18-carat (5N) red gold,,,32.00 mm,,,,,,,2.94 ATM,,‘Cosmic grené’: gold powder mixed with coloured aluminium sparkles flange: coloured and circular satin-finished,,blue alligator leather hand-stitched with 18-carat (5N) red-gold thread,blue alligator leather hand-stitched with 18-carat (5N) red-gold thread,,,Calibre A&S8300 - ULTRATHIN FLYING TOURBILLON,100 hours,"3 Hz / 21,600 vph",29,"hours, minutes","Case: 41.5 mm, 18-carat (5N) red gold
Dial: ‘Cosmic grené’: gold powder mixed with coloured aluminium sparkles flange: coloured and circular satin-finished
Strap: blue alligator leather hand-stitched with 18-carat (5N) red-gold thread",
1UTBX.F01A.C208A,https://arnoldandson.com/collections/ultrathin-tourbillon/ultrathin-tourbillon-platinum-41-5,,Arnold & Son,,ultrathin-tourbillon,ULTRATHIN TOURBILLON PLATINUM,,Limited edition: 28,,,,https://arnoldandson.com/content/417/conversions/thumbnail-cropped.jpg,,,platinum Pt950,,,32.00 mm,,,,,,,2.94 ATM,,‘Cosmic grené’: gold powder mixed with coloured aluminium sparkles flange: coloured and circular satin-finished,,"green alligator leather, hand-stitched with pt950 platinum thread","green alligator leather, hand-stitched with pt950 platinum thread",,,Calibre A&S8300 - ULTRATHIN FLYING TOURBILLON,100 hours,"3 Hz / 21,600 vph",29,"hours, minutes","Case: 41.5 mm,  platinum Pt950
Dial: ‘Cosmic grené’: gold powder mixed with coloured aluminium sparkles flange: coloured and circular satin-finished
Strap: green alligator leather, hand-stitched with pt950 platinum thread",
1TPER.W01A.C153A,https://arnoldandson.com/collections/time-pyramid/time-pyramid-42.5-red-gold,,Arnold & Son,,time-pyramid,TIME PYRAMID 42.5 RED GOLD,,Limited edition: 88,,,,https://arnoldandson.com/content/991/conversions/thumbnail-cropped.jpg,,,18-carat (5N) red gold,,,37.60 mm,,,,,,,2.94 ATM,,"Hours on a white opal disc, minutes on a rhodium plated ring",,Hand-stitched blue alligator leather,Hand-stitched blue alligator leather,,,Calibre A&S1615 - DOUBLE POWER RESERVE,90 hours,"3 Hz / 21,600 vph",27,"hours, minutes, seconds, double power reserve","Case: 42.5 mm, 18-carat (5N) red gold
Dial: Hours on a white opal disc, minutes on a rhodium plated ring
Strap: Hand-stitched blue alligator leather",
1TPEX.W01A.C153X,https://arnoldandson.com/collections/time-pyramid/time-pyramid-42.5-platinum,,Arnold & Son,,time-pyramid,TIME PYRAMID 42.5 PLATINUM,,Limited edition: 38,,,,https://arnoldandson.com/content/987/conversions/thumbnail-cropped.jpg,,,platinum (PT950),,,37.60 mm,,,,,,,2.94 ATM,,"Hours on a white opal disc, minutes on a rhodium plated ring",,Hand-stitched blue alligator leather,Hand-stitched blue alligator leather,,,Calibre A&S1615 - DOUBLE POWER RESERVE,90 hours,"3 Hz / 21,600 vph",27,"hours, minutes, seconds, double power reserve","Case: 42.5 mm, platinum (PT950)
Dial: Hours on a white opal disc, minutes on a rhodium plated ring
Strap: Hand-stitched blue alligator leather",
