reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,calibre,power_reserve,frequency,jewels,features,description,short_description
1LMMW.Z01A.C177A,https://arnoldandson.com/collections/luna-magna/luna-magna-ultimate-I,,Arnold & Son,,luna-magna,LUNA MAGNA ULTIMATE I,,Limited edition: 8 pieces,,,,https://arnoldandson.com/content/379/conversions/thumbnail-cropped.jpg,,,"18 carat white gold, bezel with dual-row invisible setting and studded lugs, with a total of 112 baguette-cut diamonds (~5.90 ct)",,,27.60 mm,,,,,,,2.94 ATM,,"blue-treated ruthenium crystals, subdial in white opal & 12.00 mm moon of 18 carat white gold set with 161 diamonds (~0.75 ct) and 161 sapphires (~0.85 ct)",,"hand-stiched, outside: blue or black alligator leather, inside: blue or black alligator leather & pin buckle 18 carat white gold, set with 26 baguette-cut diamonds (~0.97 ct)","hand-stiched, outside: blue or black alligator leather, inside: blue or black alligator leather & pin buckle 18 carat white gold, set with 26 baguette-cut diamonds (~0.97 ct)",,,Calibre A&S1021 - 3D MOON PHASES,90 hours,3 Hz,35,"hours, minutes, astronomical lunar phases (one-day correction required every 122 years), moon phase indicator on the back","Case: 44mm, 18 carat white gold, bezel with dual-row invisible setting and studded lugs, with a total of 112 baguette-cut diamonds (~5.90 ct)
Dial: blue-treated ruthenium crystals, subdial in white opal & 12.00 mm moon of 18 carat white gold set with 161 diamonds (~0.75 ct) and 161 sapphires (~0.85 ct)
Strap: hand-stiched, outside: blue or black alligator leather, inside: blue or black alligator leather & pin buckle 18 carat white gold, set with 26 baguette-cut diamonds (~0.97 ct)",
1LMAX.Z01A.C233C,https://arnoldandson.com/collections/luna-magna/luna-magna-platinum-meteorite,,Arnold & Son,,luna-magna,LUNA MAGNA Platinum,LUNA MAGNA PLATINUM METEORITE,Limited edition: 28,,,,https://arnoldandson.com/content/754/conversions/thumbnail-cropped.jpg,,,platinum Pt 950,,,27.60 mm,,,,,,,2.94 ATM,,"aventurine crystal, hour dial: white mother-of-pearl[Moon: 12.00 mm in diameter, grey marble half sphere & aventurine glass half sphere]",,"hand-sewn, grey alligator leather, orange alligator leather lining, platinum (Pt950) and titanium deploying buckle","hand-sewn, grey alligator leather, orange alligator leather lining, platinum (Pt950) and titanium deploying buckle",,,Calibre A&S1021 - 3D MOON PHASES,90 hours,3 Hz,35,"hours, minutes, astronomical three-dimensional moon phases (one-day correction required every 122 years), moon-phase indicator on the back","Case: 44 mm, platinum Pt 950
Dial: aventurine crystal, hour dial: white mother-of-pearl[Moon: 12.00 mm in diameter, grey marble half sphere & aventurine glass half sphere]
Strap: hand-sewn, grey alligator leather, orange alligator leather lining, platinum (Pt950) and titanium deploying buckle",
1LMAX.A01A.C153A,https://arnoldandson.com/collections/luna-magna/luna-magna-platinum,,Arnold & Son,,luna-magna,LUNA MAGNA PLATINUM,,Limited edition: 28,,,,https://arnoldandson.com/content/390/conversions/thumbnail-cropped.jpg,,,platinum Pt 950,,,27.60 mm,,,,,,,2.94 ATM,,"aventurine crystal, hour dial: white mother-of-pearl[Moon: 12.00 mm in diameter, grey marble half sphere & aventurine glass half sphere]",,"hand-stitched alligator leather, outside: blue, inside: dark magenta","hand-stitched alligator leather, outside: blue, inside: dark magenta",,,Calibre A&S1021 - 3D MOON PHASES,90 hours,3 Hz,35,"hours, minutes, astronomical moon-phase (correction one day in every 122 years), moon-phase indicator on the back","Case: 44 mm, platinum Pt 950
Dial: aventurine crystal, hour dial: white mother-of-pearl[Moon: 12.00 mm in diameter, grey marble half sphere & aventurine glass half sphere]
Strap: hand-stitched alligator leather, outside: blue, inside: dark magenta",
1LMAR.A04A.C211A,https://arnoldandson.com/collections/luna-magna/luna-magna-gold-mop,,Arnold & Son,,luna-magna,LUNA MAGNA GOLD,LUNA MAGNA GOLD MOP,Limited edition: 28,,,,https://arnoldandson.com/content/705/conversions/thumbnail-cropped.jpg,,,18-carat red gold (5N),,,27.60 mm,,,,,,,2.94 ATM,,"Mother of pearl counter dial. Aventurine glass [Moon: 12.00 mm in diameter, white marble half sphere & aventurine glass half sphere]",,hand-stitched blue alligator leather,hand-stitched blue alligator leather,,,Calibre A&S1021 - 3D MOON PHASES,90 hours,3 Hz,35,"hours, minutes, astronomical three-dimensional moon phases (one-day correction required every 122 years), moon-phase indicator on the back","Case: 44 mm, 18-carat red gold (5N)
Dial: Mother of pearl counter dial. Aventurine glass [Moon: 12.00 mm in diameter, white marble half sphere & aventurine glass half sphere]
Strap: hand-stitched blue alligator leather",
1LMAR.A02A.C153A,https://arnoldandson.com/collections/luna-magna/luna-magna,,Arnold & Son,,luna-magna,LUNA MAGNA GOLD,,Limited edition: 28 pieces,,,,https://arnoldandson.com/content/369/conversions/thumbnail-cropped.jpg,,,18-carat red gold (5N),,,27.60 mm,,,,,,,2.94 ATM,,"aventurine glass [Moon: 12.00 mm in diameter, white marble half sphere & aventurine glass half sphere]",,hand-stitched blue alligator leather,hand-stitched blue alligator leather,,,Calibre A&S1021 - 3D MOON PHASES,90 hours,3 Hz,35,"hours, minutes, astronomical three-dimensional moon phases (one-day correction required every 122 years), moon-phase indicator on the back","Case: 44 mm, 18-carat red gold (5N)
Dial: aventurine glass [Moon: 12.00 mm in diameter, white marble half sphere & aventurine glass half sphere]
Strap: hand-stitched blue alligator leather",
1ETAR.G01A.C112A,https://arnoldandson.com/collections/tourbillon-chrono-36/tourbillon-chronometer36-gold-gold,,Arnold & Son,,tourbillon-chrono-36,TOURBILLON CHRONOMETER 36 GOLD,,Limited edition: 28 pieces,,,,https://arnoldandson.com/content/373/conversions/thumbnail-cropped.jpg,,,18-carat red gold (5N),,,37.80 mm,,,,,,,2.94 ATM,,"Openwork, red gold (5N) treated bridges and main plate",,Hand-stitched brown alligator leather,Hand-stitched brown alligator leather,,,Calibre A&S8600 - COSC CERTIFIED TOURBILLON,90 hours,"4 Hz / 28,800 vph",33,"Hours, minutes, small seconds, tourbillon","Case: 46 mm, 18-carat red gold (5N)
Dial: Openwork, red gold (5N) treated bridges and main plate
Strap: Hand-stitched brown alligator leather",
1ETAR.S01A.C112A,https://arnoldandson.com/collections/tourbillon-chrono-36/tourbillon-chronometer36-gold-nac,,Arnold & Son,,tourbillon-chrono-36,TOURBILLON CHRONOMETER 36 NAC,,,,,,https://arnoldandson.com/content/841/conversions/thumbnail-cropped.jpg,,,18-carat red gold (5N),,,37.80 mm,,,,,,,2.94 ATM,,"Openwork, NAC treated bridges and main plate",,Hand-stitched brown alligator leather,Hand-stitched brown alligator leather,,,Calibre A&S8600 - COSC CERTIFIED TOURBILLON,90 hours,"4 Hz / 28,800 vph",33,"Hours, minutes, small seconds, tourbillon","Case: 46 mm, 18-carat red gold (5N)
Dial: Openwork, NAC treated bridges and main plate
Strap: Hand-stitched brown alligator leather",
1GLBR.Z06A.C161A,https://arnoldandson.com/collections/metiers-d-arts/perpetual-moon-rabbit-aventurine-black,,Arnold & Son,,metiers-d-arts,"PERPETUAL MOON ""YEAR OF THE RABBIT""",,Limited edition: 8,,,,https://arnoldandson.com/content/818/conversions/thumbnail-cropped.jpg,,,. 18-carat red gold (5N),,,34.00 mm,,,,,,,2.94 ATM,,"MATERIAL : black aventurine glass / RABBIT : 18-carat rose gold (4N), hand-engraved and burnished finishes / LANDSCAPE : hand-painted with gold powder, enhanced with Super-LumiNova / SKY : black aventurine glass / CONSTELLATIONS : hand-painted, enhanced with Super-LumiNova / MOON : mother-of-pearl disc with hand-painted details, enhanced with Super-LumiNova",,Hand-stitched black alligator leather with glittering specks / red alligator leather lining / platinum (Pt950) thread,Hand-stitched black alligator leather with glittering specks / red alligator leather lining / platinum (Pt950) thread,,,Calibre A&S1512 - PRECISION MOON PHASES,90 hours,"3 Hz / 21,600 vph",27,"Hours, minutes, moon-phase indication, second moon-phase indication on the back","Case: 42 mm. 18-carat red gold (5N)
Dial: MATERIAL : black aventurine glass / RABBIT : 18-carat rose gold (4N), hand-engraved and burnished finishes / LANDSCAPE : hand-painted with gold powder, enhanced with Super-LumiNova / SKY : black aventurine glass / CONSTELLATIONS : hand-painted, enhanced with Super-LumiNova / MOON : mother-of-pearl disc with hand-painted details, enhanced with Super-LumiNova
Strap: Hand-stitched black alligator leather with glittering specks / red alligator leather lining / platinum (Pt950) thread",
1GLBR.Z08A.C264A,https://arnoldandson.com/collections/metiers-d-arts/perpetual-moon-dragon-aventurine-blue,,Arnold & Son,,metiers-d-arts,"PERPETUAL MOON ""YEAR OF THE DRAGON"" - Blue Aventurine",,Limited edition: 8,,,,https://arnoldandson.com/content/993/conversions/thumbnail-cropped.jpg,,,18-carat red gold (5N),,,34.00 mm,,,,,,,2.94 ATM,,"blue aventurine glass, 18-carat rose gold (4N) hand-engraved and polished dragon, hand painted with rose gold powder overlaid with Super LumiNova landscape, mother of-pearl disc with hand-painted details, enhanced with Super-LumiNova",,"ink blue alligator leather, red alligator leather lining, hand-stitched, 18-carat red gold (5N) pin buckle","ink blue alligator leather, red alligator leather lining, hand-stitched, 18-carat red gold (5N) pin buckle",,,Calibre A&S1512 - PRECISION MOON PHASES,90 hours,"3 Hz / 21,600 vph",27,"hours, minutes, astronomical moon phases, second moon-phase indicator on the back","Case: 41.5 mm, 18-carat red gold (5N)
Dial: blue aventurine glass, 18-carat rose gold (4N) hand-engraved and polished dragon, hand painted with rose gold powder overlaid with Super LumiNova landscape, mother of-pearl disc with hand-painted details, enhanced with Super-LumiNova
Strap: ink blue alligator leather, red alligator leather lining, hand-stitched, 18-carat red gold (5N) pin buckle",
1GLBR.Z07A.C263A,https://arnoldandson.com/collections/metiers-d-arts/perpetual-moon-dragon-aventurine-black,,Arnold & Son,,metiers-d-arts,"PERPETUAL MOON ""YEAR OF THE DRAGON"" - Black Aventurine",,Limited edition: 8,,,,https://arnoldandson.com/content/1003/conversions/thumbnail-cropped.jpg,,,18-carat red gold (5N),,,34.00 mm,,,,,,,2.94 ATM,,"black aventurine glass, 18-carat rose gold (4N) hand-engraved and polished dragon, hand painted with rose gold powder overlaid with Super LumiNova landscape, mother of-pearl disc with hand-painted details, enhanced with Super-LumiNova",,"spangled black alligator leather, red alligator leather lining, hand-stitched, 18-carat red gold (5N) pin buckle","spangled black alligator leather, red alligator leather lining, hand-stitched, 18-carat red gold (5N) pin buckle",,,Calibre A&S1512 - PRECISION MOON PHASES,90 hours,"3 Hz / 21,600 vph",27,"hours, minutes, astronomical moon phases, second moon-phase indicator on the back","Case: 41.5 mm, 18-carat red gold (5N)
Dial: black aventurine glass, 18-carat rose gold (4N) hand-engraved and polished dragon, hand painted with rose gold powder overlaid with Super LumiNova landscape, mother of-pearl disc with hand-painted details, enhanced with Super-LumiNova
Strap: spangled black alligator leather, red alligator leather lining, hand-stitched, 18-carat red gold (5N) pin buckle",
